Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,
22.201.000011.2020,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,13/01/2020,SERVIÇO DE TERCEIRO PESSOA JURÍDICA,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,"22.800,00",
30.000.273330.2020,ENCARGOS GERAIS DO ESTADO,20/01/2020,LOCAÇÃO DE IMÓVEL 1ª E 2ª DELEGACIAS DE POLÍCIA CIVIL EM SOUSA,161.228.284-91 - MARIA LUCIENE BRAGA DE SOUSA,"33.600,00",
30.000.290528.2020,ENCARGOS GERAIS DO ESTADO,24/01/2020,LOCAÇÃO DE IMÓVEL DEPÓSITO MOBILIÁRIO DA SEAD,288.270.074-15 - HOZANA MARIA TEIXEIRA MARQUES LIRA,"146.400,00",
30.000.394935.2020,ENCARGOS GERAIS DO ESTADO,28/01/2020,LOCAÇÃO DE IMÓVEL CENTRO DE ASSISTÊNCIA PSICOSSOCIAL DOS POLICIAIS MILITARES (CAPS) PATOS,396.315.404-72 - TEREZINHA DE FIGUEIREDO COSTA,"31.200,00",
22.204.117872019.2020,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,05/02/2020,SERVIÇOS DE CAPACITAÇÃO NO USO DE SOFTWARES NO CTIC DA UEPB,02.852.277/0001-78 - FUNDAÇÃO DE APOIO À EDUCAÇÃO E AO DESENVOLVIMENTO TECNOLÓGICO DO RIO GRANDE DO NORTE - FUNCERN,"23.100,00",
20.000.015225.2020,SECRETARIA DE ESTADO DA FAZENDA,07/02/2020,AQUISIÇÃO DE MATERIAL,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"11.500,00",
25.000.3010601.2020,SECRETARIA DE ESTADO DA SAÚDE,07/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"141.252,80",
25.000.1411652.2020,SECRETARIA DE ESTADO DA SAÚDE,10/02/2020,EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 267MG),33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"48.243,60",
25.000.2111546.2020,SECRETARIA DE ESTADO DA SAÚDE,10/02/2020,EMERGENCIAL DE MEDICAMENTO (MEPOLIZUMABE 100MG/1ML),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"83.468,34",
19.000.030370.2020,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,11/02/2020,LOCAÇÃO DE PURIFICADOR DE ÁGUA,09.105.553/0001-83 - CASA DOS FILTROS DOIS COMERCIO E SERVICOS LTDA,"5.985,00",
