Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.239.000001.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/1/2021,AQUISIÇÃO DE BOMBA INJETORA,09.390.408/0001-91 - DMAX - DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA. - EPP,"223.200,00"
25.239.000002.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/1/2021,MATERIAL HOSPITALAR OPME,26.426.625/0001-03 - FRANCA COMERCIO E ARTIGOS MEDICOS EIRELLI,"9.000,00"
30.000.088629.2021,ENCARGOS GERAIS DO ESTADO,4/1/2021,LOCAÇÃO DE IMÓVEL PROJETO HUB DE INOVAÇÃO DA PARAÍBA EM JOÃO PESSOA,12.610.267/0001-80 - CASA FORTE ENGENHARIA LTDA,"92.400,00"
15.000.000001.2021,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,5/1/2021,AQUISIÇÃO DE RAÇÃO PELETIZADA E FENO PARA EQUINOS.,35.496.850/0001-07 - JOSE GOMES DA COSTA NETO-ME,"229.500,00"
25.210.000001.2021,SES/HOSPITAL REGIONAL DE PATOS,6/1/2021,AQUISIÇÃO DE AGUA MINERAL ,26.862.173/0001-02 - JOSE SANTOS NETO ME,"35.100,00"
30.000.257358.2021,ENCARGOS GERAIS DO ESTADO,6/1/2021,LOCAÇÃO DE IMÓVEL CENTRO DE REFERÊNCIA DE ENFRENTAMENTO A RACISMO E INTOLERÂNCIA RELIGIOSA,002.736.274-49 - MARIA COSTA DE OLIVEIRA,"42.000,00"
25.239.000006.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,MATERIAL HOSPITALAR OPME,06.204.103/0001-50 - RS DOS SANTOS COMERCIO EIRELLI.,"6.076,38"
25.239.000007.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,MATERIAL HOSPITALAR OPME,11.278.315/0001-11 - PROMED MATERIAIS CIRURGICOS LTDA,"21.100,00"
25.239.000008.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,MATERIAL HOSPITALAR OPME,01.772.798/0006-67 - MEDTRONIC COMERCIAL LTDA,"85.000,00"
25.239.000011.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,AQUISIÇÃO DE BISTURI ELETRICO,08.140.941/0002-13 - MED 7 PRODUTOS HOSPITALARES LTDA.,"74.192,00"
25.239.000013.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO ESTERELIZAÇÃO,10.287.853/0001-00 - EMBRAESTER - EMPRESA BRASILEIRA DE ESTERILIZACOES LTDA,"84.240,00"
25.239.000014.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,8/1/2021,AQUISIÇÃO DE INSUMOS ODONTOLOGICOS,34.698.454/0001-08 - DENTALMED PRODUTOS PARA SAUDE LTDA.,"7.717,39"
15.201.000002.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,11/1/2021,INSUMOS DE LAVANDERIA,09.647.712/0001-71 - NEW CLEAN INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA EIRELI,"80.214,00"
25.239.000016.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,11/1/2021,AQUISIÇÃO DE MEDICAMENTOS,09.390.408/0001-91 - DMAX - DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA. - EPP,"121.000,00"
24.000.000174.2021,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,14/01/2021,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS,21.391.428/0001-82 - COROA COMERCIO E FRACIONAMENTO DE CEREAIS LTDA,"5.368.959,77"
25.215.000002.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,14/01/2021,EQUIPO PARA BOMBA DE INFUSÃO,"13.047.802/0001-07 - REDMED COMERCIO, SERVICOS E LOCACAO LTDA","609.615,00"
25.239.000019.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,14/01/2021,MATERIAL HOSPITALAR,09.300.725/0001-70 - SENSYMED EQUIPADORA,"19.470,00"
25.206.000001.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,15/01/2021,AQUISIÇÃO DE GASES MEDICINAIS,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"473.675,35"
25.213.000010.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,15/01/2021,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS ,24.215.436/0001-66 - C. MENDES FEITOSA,"403.950,94"
25.213.000012.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,15/01/2021,AQUISIÇÃO DE MATERIAIS DE DOMISSANEANTES,18.535.927/0001-91 - MARX RANIELDES SOARES DE SOUZA,"222.489,96"
25.213.000020.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,15/01/2021,AQUISIÇÃO DE MATERIAIS DESCARTÁVEIS,18.535.927/0001-91 - MARX RANIELDES SOARES DE SOUZA,"316.435,50"
25.213.000023.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,15/01/2021,AQUISIÇÃO DE MATERIAL DE ROUPARIA E COSTURA ,24.376.241/0001-06 - CR COMERCIO DE TECIDO EIRELI-ME,"125.582,00"
25.213.000041.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,15/01/2021,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,13.094.898/0001-56 - ELIANE DO NASCIMENTO CAMPOS,"150.048,48"
25.239.000021.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,15/01/2021,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM ESTAÇÃO DE ESGOTO,18.113.863/0001-30 - EMPATECH - ENGENHARIA PARA O MEIO AMBIENTE LTDA - EPP,"175.809,00"
