Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.216.000002.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,04/01/2022,AQUISIÇÃO DE GÁS LIQUEFEITO DE PETROLEO  / DISPENSA 180 DIAS,11.893.112/0001-35 - SOS GAS DISTRIBUIDORA LTDA,"192.850,00"
25.235.000001.2022,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,05/01/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS.,03.259.614/0001-80 - R.C. COMERCIO GASES E EQUIPAMENTOS LTDA-ME,"150.000,00"
30.000.273655.2022,ENCARGOS GERAIS DO ESTADO,05/01/2022,LOCAÇÃO DE IMÓVEL UNIDADE CRIMINALÍSTICA EM PATOS,424.708.114-49 - ANA ZULEIDE TIBURTINO ALCÂNTARA,"4.580,00"
30.000.415819.2022,ENCARGOS GERAIS DO ESTADO,05/01/2022,LOCAÇÃO DE IMÓVEL 6ª DELEGACIA DISTRITAL EM CAMPINA GRANDE,108.315.778-78 - MARIA DE FÁTIMA RIBEIRO DA COSTA,"5.000,00"
25.203.001459.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,06/01/2022,EMERGENCIAL DE REDE DE GASES,12.929.519/0001-38 - SERVPROL SERV.E COMERCIO DE PROD.MEDICOS LTDA ME,"23.100,00"
25.203.001908.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,06/01/2022,CONTRATAÇÃO EMERGEN. DE EMPRE. ESPECI. EM MANU. COM REPOSIÇÃO DE PEÇAS DE AR CONDICIONADOS,20.182.641/0001-11 - ARILSON DA SILVA SANTANA-ME,"57.864,00"
25.213.000001.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,06/01/2022,LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS (OXIGÊNIO E AR COMPRIMIDO).,03.259.614/0001-80 - R.C. COMERCIO GASES E EQUIPAMENTOS LTDA-ME,"216.000,00"
25.213.000003.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,06/01/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA MANUTENÇÃO PREV. E/OU CORR. EM EQUIPAMENTOS DE REFRIGERAÇÃO.,10.867.184/0001-45 - JURACY BEZERRA PONCHET,"86.235,00"
25.235.000003.2022,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,06/01/2022,AQUISIÇÃO DE MATERIAIS MÉDICOS HOSPITALARES,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,"667.892,57"
30.000.027891.2022,ENCARGOS GERAIS DO ESTADO,06/01/2022,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL EM CRUZ DO ESPÍRITO SANTO,123.382.304-34 - ARLETE MIRANDA DE MELO,"1.220,00"
